Birth Rate,Business Tax Rate,CO2 Emissions,PopXbirth rate,Country,Days to Start Business,Ease of Business,Energy Usage,gdp,Health Exp % GDP,Health Exp/Capita,Hours to do Tax (bin),Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage (bin),Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
4.30%,,957,526265.777,Malawi,45,,,2424656666,6.30%,$13 ,,,8.40%,0,48.90%,47,47,0,0,1,46.10%,50.90%,3.00%,12238739,14.90%,Africa,"$66,000,000 ","$70,000,000 ",2003
4.30%,,975,540470.913,Malawi,39,,,2625127098,7.80%,$16 ,,,7.80%,0,36.80%,48,48,0,0,1,46.10%,50.80%,3.00%,12569091,15.00%,Africa,"$74,000,000 ","$70,000,000 ",2004
4.20%,33.40%,917,542839.332,Malawi,39,,,2754995877,8.20%,$17 ,339,370,7.30%,0,33.10%,49,49,0,0,1,46.10%,50.80%,3.10%,12924746,15.10%,Africa,"$48,000,000 ","$84,000,000 ",2005
4.20%,33.40%,953,558916.47,Malawi,39,,,3116789658,9.00%,$21 ,339,370,6.80%,0,32.30%,50,50,0,0,1,46.10%,50.80%,3.00%,13307535,15.10%,Africa,"$45,000,000 ","$85,000,000 ",2006
4.20%,33.00%,953,575977.836,Malawi,39,,,3647817219,6.70%,$18 ,339,370,6.40%,0,27.70%,51,51,0,0.1,1,46.10%,50.90%,3.00%,13713758,15.20%,Africa,"$43,000,000 ","$79,000,000 ",2007
4.20%,32.20%,1155,593804.694,Malawi,39,,,4276769712,8.40%,$25 ,226,292,5.90%,0,25.30%,52,52,0.1,0.1,1,46.00%,50.90%,3.00%,14138207,15.30%,Africa,"$43,000,000 ","$86,000,000 ",2008
4.10%,26.30%,1060,597506.858,Malawi,39,,,5030639934,8.30%,$29 ,113,157,5.50%,0,25.30%,53,53,0.2,0.2,1,45.90%,51.00%,3.10%,14573338,15.40%,Africa,"$46,000,000 ","$91,000,000 ",2009
4.10%,25.90%,1239,615561.454,Malawi,39,,,5398616985,8.50%,$30 ,113,157,5.30%,0,24.60%,54,53,0.2,0.2,1,45.80%,51.10%,3.10%,15013694,15.50%,Africa,"$47,000,000 ","$93,000,000 ",2010
4.00%,29.00%,,618301.24,Malawi,39,,,5627898037,8.30%,$30 ,113,157,4.90%,0,23.80%,54,54,0.3,0.3,1,45.60%,51.20%,3.10%,15457531,15.70%,Africa,"$39,000,000 ","$97,000,000 ",2011
4.00%,32.40%,,636259.32,Malawi,40,161,,4240492849,9.20%,$25 ,113,175,4.60%,0,32.30%,55,55,0.3,0.3,1,45.40%,51.40%,3.10%,15906483,15.80%,Africa,"$38,000,000 ","$101,000,000 ",2012
2.30%,,126603,538677.273,Malaysia,,,47110,93789473684,3.00%,$120 ,,,0.90%,0.2,7.70%,75,71,0.2,0.2,1,33.30%,62.80%,3.80%,23420751,62.00%,Asia,"$5,873,000,000 ","$2,543,000,000 ",2000
2.20%,,136717,526366.324,Malaysia,,,49255,92783947368,3.30%,$130 ,,,0.80%,0.3,7.10%,75,71,0.3,0.3,1,32.70%,63.40%,3.90%,23925742,62.90%,Asia,"$7,627,000,000 ","$3,391,000,000 ",2001
2.10%,,135129,512689.695,Malaysia,,,51009,1.01E+11,3.30%,$138 ,,,0.80%,0.3,6.50%,75,71,0.3,0.4,1,32.10%,63.90%,4.00%,24413795,63.90%,Asia,"$8,084,000,000 ","$3,330,000,000 ",2002
2.00%,,160266,497813.08,Malaysia,37,,54619,1.10E+11,3.90%,$172 ,,,0.70%,0.4,6.30%,76,71,0.4,0.4,1,31.50%,64.40%,4.20%,24890654,64.80%,Asia,"$6,799,000,000 ","$3,401,000,000 ",2003
1.90%,,167333,481936.691,Malaysia,37,,58691,1.25E+11,3.70%,$181 ,,,0.70%,0.4,6.00%,76,71,0.5,0.6,1,30.80%,64.90%,4.30%,25365089,65.70%,Asia,"$9,183,000,000 ","$3,822,000,000 ",2004
1.90%,36.00%,177373,491025.854,Malaysia,37,,63507,1.44E+11,3.20%,$179 ,113,190,0.70%,0.5,6.00%,76,72,0.8,0.8,1,30.20%,65.40%,4.40%,25843466,66.60%,Asia,"$10,389,000,000 ","$4,339,000,000 ",2005
1.80%,36.00%,170648,473887.764,Malaysia,37,,63715,1.63E+11,3.60%,$222 ,113,190,0.70%,0.5,6.50%,76,72,0.7,0.7,1,29.70%,65.90%,4.50%,26327098,67.50%,Asia,"$12,280,000,000 ","$5,085,000,000 ",2006
1.80%,36.00%,205308,482648.742,Malaysia,31,,69970,1.94E+11,3.50%,$256 ,113,166,0.70%,0.6,6.40%,76,72,0.8,0.9,1,29.20%,66.30%,4.50%,26813819,68.40%,Asia,"$17,948,000,000 ","$6,600,000,000 ",2007
1.80%,34.50%,213221,491442.264,Malaysia,20,,73006,2.31E+11,3.40%,$288 ,113,145,0.70%,0.6,6.10%,77,72,1,1,1,28.70%,66.70%,4.60%,27302348,69.20%,Asia,"$18,553,000,000 ","$7,724,000,000 ",2008
1.80%,34.20%,203882,500225.832,Malaysia,18,,69858,2.02E+11,3.90%,$285 ,113,145,0.70%,0.6,5.10%,77,72,1,1.1,1,28.20%,67.10%,4.70%,27790324,70.10%,Asia,"$17,231,000,000 ","$7,196,000,000 ",2009
1.80%,33.70%,216804,508965.03,Malaysia,17,,72645,2.48E+11,4.00%,$345 ,113,145,0.70%,0.6,5.00%,77,72,1.2,1.2,1,27.70%,67.50%,4.80%,28275835,70.90%,Asia,"$18,152,000,000 ","$8,324,000,000 ",2010
1.80%,34.00%,,517661.424,Malaysia,6,,75907,2.89E+11,3.80%,$384 ,113,133,0.70%,0.6,4.90%,77,72,1.3,1.3,1,27.20%,67.80%,5.00%,28758968,71.70%,Asia,"$19,649,000,000 ","$10,180,000,000 ",2011
1.80%,24.50%,,526318.686,Malaysia,6,8,,3.05E+11,3.90%,$410 ,113,133,0.70%,0.7,4.80%,77,73,1.3,1.4,1,26.70%,68.20%,5.20%,29239927,72.50%,Asia,"$20,251,000,000 ","$11,545,000,000 ",2012
2.50%,,499,6818.625,Maldives,,,,624337144,7.10%,$162 ,,,3.50%,0,13.00%,70,69,0,0,1,41.30%,54.90%,3.80%,272745,27.70%,Asia,"$321,000,000 ","$60,000,000 ",2000
2.30%,,576,6389.975,Maldives,,,,802442810,5.30%,$153 ,,,3.20%,0,13.00%,72,70,0,0.1,1,39.90%,56.10%,3.90%,277825,28.90%,Asia,"$327,000,000 ","$59,000,000 ",2001
2.20%,,689,6220.346,Maldives,,,,828240882,5.20%,$152 ,,,2.80%,0.1,13.50%,73,70,0.1,0.1,1,38.50%,57.40%,4.10%,282743,30.00%,Asia,"$337,000,000 ","$60,000,000 ",2002
2.20%,,598,6327.068,Maldives,13,,,949867662,6.00%,$199 ,,,2.50%,0.1,14.00%,74,71,0.2,0.2,1,37.00%,58.70%,4.30%,287594,31.30%,Asia,"$402,000,000 ","$60,000,000 ",2003
2.10%,,777,6142.605,Maldives,9,,250,1075605492,5.90%,$217 ,,,2.20%,0.1,13.00%,75,72,0.3,0.4,1,35.60%,59.90%,4.40%,292505,32.50%,Asia,"$471,000,000 ","$75,000,000 ",2004
2.10%,9.30%,700,6249.096,Maldives,9,,225,992473987,7.00%,$235 ,,,1.90%,0.1,13.00%,75,73,0.7,0.7,1,34.30%,61.10%,4.60%,297576,33.80%,Asia,"$826,000,000 ","$94,000,000 ",2005
2.10%,9.30%,887,6359.325,Maldives,9,,288,1303375806,6.70%,$287 ,,,1.70%,0.1,13.00%,76,74,0.8,0.9,1,33.20%,62.10%,4.70%,302825,35.00%,Asia,"$1,235,000,000 ","$106,000,000 ",2006
2.20%,9.30%,917,6781.258,Maldives,9,,299,1541978559,6.30%,$315 ,,,1.50%,0.2,13.00%,77,74,1,1,1,32.20%,63.00%,4.80%,308239,36.30%,Asia,"$1,515,000,000 ","$152,000,000 ",2007
2.20%,9.30%,1008,6904.546,Maldives,9,,,1891633531,7.90%,$475 ,,,1.40%,0.2,13.00%,77,75,1.3,1.4,1,31.30%,63.70%,4.90%,313843,37.60%,Asia,"$1,559,000,000 ","$211,000,000 ",2008
2.20%,9.30%,1067,7032.52,Maldives,9,,,1984639641,7.60%,$475 ,,,1.20%,0.2,13.00%,77,75,1.4,1.4,1,30.60%,64.40%,5.00%,319660,38.80%,Asia,"$1,473,000,000 ","$212,000,000 ",2009
2.20%,9.30%,1074,7165.268,Maldives,9,,,2134104884,5.80%,$379 ,,,1.10%,0.3,10.40%,78,76,1.5,1.5,1,30.00%,65.00%,5.00%,325694,40.00%,Asia,"$1,713,000,000 ","$252,000,000 ",2010
2.20%,9.30%,,7303.208,Maldives,9,,,2162990126,8.10%,$525 ,,,1.00%,0.3,10.20%,78,76,1.6,1.6,1,29.40%,65.50%,5.00%,331964,41.20%,Asia,"$1,868,000,000 ","$256,000,000 ",2011
2.20%,26.80%,,7445.724,Maldives,9,81,,2113179304,8.50%,$558 ,226,252,0.90%,0.4,10.50%,79,77,1.6,1.7,1,29.00%,66.00%,5.00%,338442,42.30%,Asia,"$1,873,000,000 ","$270,000,000 ",2012
4.80%,,543,492507.696,Mali,,,,2422482318,6.30%,$16 ,,,11.60%,0,,49,49,0,0,1,46.10%,50.40%,3.50%,10260577,28.40%,Africa,"$47,000,000 ","$66,000,000 ",2000
4.80%,,546,507012.864,Mali,,,,2629739067,6.40%,$18 ,,,11.30%,0,,49,50,0,0,1,46.10%,50.50%,3.40%,10562768,29.10%,Africa,"$91,000,000 ","$65,000,000 ",2001
4.80%,,554,522367.776,Mali,,,,3342824260,6.30%,$19 ,,,10.90%,0,,50,50,0,0,1,46.10%,50.60%,3.30%,10882662,29.80%,Africa,"$105,000,000 ","$62,000,000 ",2002
4.80%,,539,538547.376,Mali,41,,,4362439887,6.20%,$24 ,,,10.50%,0,,50,51,0,0,1,46.20%,50.60%,3.20%,11219737,30.50%,Africa,"$136,000,000 ","$94,000,000 ",2003
4.80%,,565,555500.928,Mali,41,,,4874178417,6.30%,$27 ,,,10.10%,0,,51,51,0,0,1,46.20%,50.60%,3.10%,11572936,31.30%,Africa,"$142,000,000 ","$125,000,000 ",2004
4.80%,51.40%,568,573180.384,Mali,41,,,5305317555,6.30%,$29 ,226,270,9.70%,0,,51,52,0,0.1,1,46.30%,50.60%,3.10%,11941258,32.10%,Africa,"$149,000,000 ","$133,000,000 ",2005
4.80%,51.40%,568,591626.16,Mali,41,,,6122644015,6.60%,$33 ,226,270,9.30%,0,,52,52,0.1,0.1,1,46.40%,50.60%,3.00%,12325545,32.80%,Africa,"$175,000,000 ","$196,000,000 ",2006
4.80%,51.40%,579,610830.192,Mali,25,,,7145394015,7.00%,$39 ,226,270,9.00%,0,,52,53,0.2,0.2,1,46.40%,50.60%,3.00%,12725629,33.60%,Africa,"$227,000,000 ","$201,000,000 ",2007
4.80%,51.40%,594,630638.352,Mali,25,,,8737687353,6.70%,$45 ,226,270,8.80%,0,,53,53,0.3,0.3,1,46.50%,50.50%,3.00%,13138299,34.40%,Africa,"$286,000,000 ","$228,000,000 ",2008
4.80%,51.40%,612,650846.208,Mali,8,,,8964480570,6.80%,$45 ,226,270,8.50%,0,,53,54,0.3,0.3,1,46.70%,50.40%,2.90%,13559296,35.20%,Africa,"$290,000,000 ","$231,000,000 ",2009
4.80%,51.40%,623,671326.128,Mali,8,,,9422267260,6.90%,$46 ,226,270,8.30%,0,,54,54,0.5,0.5,1,46.80%,50.30%,2.90%,13985961,36.00%,Africa,"$296,000,000 ","$235,000,000 ",2010
4.80%,51.10%,,692003.376,Mali,8,,,10647545670,6.80%,$51 ,226,270,8.10%,0,,54,54,0.7,0.8,1,47.00%,50.20%,2.90%,14416737,36.80%,Africa,"$274,000,000 ","$224,000,000 ",2011
4.70%,51.10%,,698117.884,Mali,8,153,,10340794110,5.80%,$42 ,226,270,7.90%,0,,54,55,0.9,1,1,47.10%,50.00%,2.80%,14853572,37.60%,Africa,,,2012
1.20%,,2065,4576.356,Malta,,,676,3957418083,6.60%,$643 ,,,0.70%,0.1,7.30%,80,76,0.3,0.3,1,20.70%,68.60%,10.70%,381363,92.40%,Europe,"$731,000,000 ","$224,000,000 ",2000
1.00%,,2486,3930.28,Malta,,,787,3917620728,7.00%,$675 ,,,0.70%,0.2,6.90%,81,77,0.5,0.6,1,20.00%,68.80%,11.10%,393028,92.60%,Europe,"$704,000,000 ","$204,000,000 ",2001
1.00%,,2299,3959.69,Malta,,,734,4296164768,7.90%,$839 ,,,0.60%,0.3,6.00%,81,76,0.7,0.7,1,19.30%,69.00%,11.70%,395969,92.90%,Europe,"$757,000,000 ","$180,000,000 ",2002
1.00%,,2582,3985.82,Malta,,,826,5119621569,8.20%,"$1,074 ",,,0.60%,0.3,5.90%,81,76,0.7,0.7,1,18.50%,69.10%,12.30%,398582,93.20%,Europe,"$869,000,000 ","$238,000,000 ",2003
1.00%,,2574,4012.68,Malta,,,830,5643525282,8.60%,"$1,247 ",,,0.60%,0.3,5.30%,81,77,0.7,0.7,1,17.80%,69.30%,12.90%,401268,93.40%,Europe,"$949,000,000 ","$291,000,000 ",2004
1.00%,,2699,4038.34,Malta,,,881,5980795756,9.10%,"$1,394 ",,,0.60%,0.4,5.50%,81,77,0.8,0.8,1,17.30%,69.40%,13.30%,403834,93.60%,Europe,"$924,000,000 ","$311,000,000 ",2005
0.90%,,2574,3647.772,Malta,,,834,6390123590,9.00%,"$1,445 ",,,0.60%,0.4,5.70%,82,77,0.8,0.8,1,16.80%,69.60%,13.60%,405308,93.90%,Europe,"$966,000,000 ","$362,000,000 ",2006
0.90%,,2725,3660.516,Malta,,,878,7513834700,8.50%,"$1,580 ",,,0.60%,0.5,6.20%,82,78,0.8,0.9,1,16.40%,69.80%,13.80%,406724,94.10%,Europe,"$1,185,000,000 ","$284,000,000 ",2007
1.00%,,2560,4093.79,Malta,,,837,8554293727,8.20%,"$1,596 ",,,0.60%,0.5,5.90%,82,77,0.8,0.9,1,16.20%,69.90%,13.90%,409379,94.30%,Europe,"$1,336,000,000 ","$361,000,000 ",2008
1.00%,,2497,4124.77,Malta,,,777,8099400961,8.30%,"$1,669 ",,,0.60%,0.6,4.50%,83,78,0.9,1,1,15.90%,69.90%,14.10%,412477,94.50%,Europe,"$1,117,000,000 ","$362,000,000 ",2009
0.90%,,2589,3730.572,Malta,,,848,8163841060,8.50%,"$1,707 ",,,0.60%,0.6,4.60%,84,79,1,1.1,1,15.60%,69.90%,14.50%,414508,94.70%,Europe,"$1,238,000,000 ","$366,000,000 ",2010
1.00%,41.00%,,4162.68,Malta,40,,857,9302057270,8.70%,"$1,900 ",113,139,0.50%,0.7,4.70%,83,79,1.2,1.2,1,15.30%,69.70%,15.00%,416268,94.80%,Europe,"$1,465,000,000 ","$401,000,000 ",2011
1.00%,40.90%,,4194.55,Malta,40,100,,8863076923,9.10%,"$1,835 ",113,139,0.50%,0.7,4.70%,83,79,1.2,1.2,1,15.00%,69.40%,15.60%,419455,95.00%,Europe,"$1,451,000,000 ","$408,000,000 ",2012
,,77,,Marshall Islands,,,,110937729,22.50%,$466 ,,,3.40%,0,,68,63,0,0,1,,,,52161,68.40%,Oceania,"$3,000,000 ","$200,000 ",2000
,,81,,Marshall Islands,,,,115152143,19.40%,$412 ,,,3.30%,0,,,,0,0,1,,,,52184,68.70%,Oceania,"$3,100,000 ","$300,000 ",2001
,,84,,Marshall Islands,,,,124735072,18.20%,$418 ,,,3.30%,0,,,,0,0,1,,,,52161,69.00%,Oceania,"$3,400,000 ","$300,000 ",2002
,,84,,Marshall Islands,17,,,126887585,17.30%,$411 ,,,3.30%,0,,,,0,0,1,,,,52115,69.30%,Oceania,"$4,000,000 ","$300,000 ",2003
,,88,,Marshall Islands,17,,29,131106366,17.60%,$449 ,,,3.30%,0,,,,0,0,1,,,,52074,69.60%,Oceania,"$5,000,000 ","$400,000 ",2004
3.50%,64.80%,84,1822.03,Marshall Islands,17,,29,137556823,17.30%,$462 ,113,128,3.30%,0,,,,0,0,1,,,,52058,69.90%,Oceania,"$5,700,000 ","$400,000 ",2005
3.50%,64.80%,92,1822.94,Marshall Islands,17,,30,143352031,19.60%,$547 ,113,128,3.30%,0,,,,,,1,,,,52084,70.20%,Oceania,"$6,600,000 ","$400,000 ",2006
3.50%,64.80%,99,1825.25,Marshall Islands,17,,32,149739017,19.60%,$587 ,113,128,3.20%,0,,,,,,1,,,,52150,70.50%,Oceania,"$4,500,000 ",,2007
,64.80%,99,,Marshall Islands,17,,,152565763,17.90%,$569 ,113,128,3.20%,0,,,,,,1,,,,52245,70.80%,Oceania,"$3,000,000 ",,2008
,64.80%,103,,Marshall Islands,17,,,151560778,17.50%,$551 ,113,128,3.20%,0.1,,,,,,1,,,,52341,71.10%,Oceania,"$3,500,000 ",,2009
,64.80%,103,,Marshall Islands,17,,,163200000,16.00%,$542 ,113,128,3.20%,0.1,,,,,,1,,,,52428,71.30%,Oceania,"$3,300,000 ",,2010
,64.80%,,,Marshall Islands,17,,,170700000,16.00%,$567 ,113,128,3.20%,0.1,,,,,,1,,,,52495,71.60%,Oceania,,,2011
,64.80%,,,Marshall Islands,17,110,,173000000,15.60%,$590 ,113,128,3.10%,0.1,,,,,,1,,,,52555,71.90%,Oceania,,,2012
3.80%,,1236,102907.61,Mauritania,,,,1293653473,6.00%,$24 ,,,7.60%,0,25.60%,61,58,0,0,1,42.80%,54.00%,3.20%,2708095,49.20%,Africa,,,2000
3.80%,,1349,106073.314,Mauritania,,,,1295536829,4.80%,$19 ,,,7.60%,0,22.50%,61,58,0,0,1,42.60%,54.30%,3.20%,2791403,50.00%,Africa,,,2001
3.80%,,1434,109342.378,Mauritania,,,,1324424463,6.00%,$24 ,,,7.60%,0,21.00%,61,58,0.1,0.1,1,42.30%,54.50%,3.20%,2877431,50.80%,Africa,,,2002
3.70%,,1474,109729.679,Mauritania,82,,,1563072653,5.40%,$23 ,,,7.60%,0,21.00%,62,59,0.1,0.1,1,42.00%,54.80%,3.20%,2965667,51.60%,Africa,,,2003
3.70%,,1632,113050.725,Mauritania,82,,,1833445283,5.90%,$28 ,,,7.50%,0,21.00%,62,59,0.2,0.2,1,41.80%,55.10%,3.20%,3055425,52.40%,Africa,,,2004
3.70%,94.70%,1676,116408.068,Mauritania,82,,,2184444849,5.00%,$29 ,678,696,7.50%,0,23.10%,62,59,0.2,0.2,1,41.60%,55.30%,3.10%,3146164,53.10%,Africa,,,2005
3.70%,94.70%,1676,119795.381,Mauritania,82,,,3040718541,3.50%,$30 ,678,696,7.40%,0,24.00%,62,59,0.3,0.3,1,41.30%,55.50%,3.10%,3237713,53.90%,Africa,,,2006
3.60%,94.70%,1914,119881.332,Mauritania,65,,,3356758534,4.40%,$37 ,678,696,7.30%,0,23.50%,62,59,0.4,0.4,1,41.10%,55.70%,3.10%,3330037,54.60%,Africa,,,2007
3.60%,85.80%,2021,123224.436,Mauritania,19,,,3790240831,4.30%,$46 ,678,696,7.20%,0,20.30%,62,59,0.6,0.6,1,40.90%,55.90%,3.10%,3422901,55.30%,Africa,,,2008
3.60%,85.80%,2211,126578.772,Mauritania,19,,,3027032864,5.40%,$46 ,678,696,7.10%,0,19.50%,62,59,0.6,0.6,1,40.70%,56.10%,3.10%,3516077,56.00%,Africa,,,2009
3.50%,68.20%,2215,126329.7,Mauritania,19,,,3526946625,6.00%,$58 ,678,696,7.00%,0,17.00%,63,60,0.8,0.8,1,40.60%,56.30%,3.10%,3609420,56.70%,Africa,,,2010
3.50%,68.20%,,129596.705,Mauritania,19,,,4136083856,5.90%,$51 ,678,696,6.90%,0,17.00%,63,60,0.8,0.9,1,40.40%,56.50%,3.10%,3702763,57.30%,Africa,,,2011
3.40%,68.20%,,129068.794,Mauritania,19,171,,3958701369,6.40%,$52 ,678,696,6.80%,0.1,17.00%,63,60,1,1.1,1,40.20%,56.60%,3.20%,3796141,58.00%,Africa,,,2012
1.70%,,2769,20176.841,Mauritius,,,,4582562398,3.70%,$146 ,,,1.60%,0.1,20.80%,75,68,0.1,0.2,1,25.80%,68.10%,6.10%,1186873,42.70%,Africa,"$732,000,000 ","$203,000,000 ",2000
1.60%,,2967,19198.096,Mauritius,,,,4536544699,3.80%,$147 ,,,1.50%,0.1,21.10%,75,68,0.2,0.2,1,25.50%,68.30%,6.30%,1199881,42.50%,Africa,"$820,000,000 ","$216,000,000 ",2001
1.70%,,2981,20573.332,Mauritius,,,,4767303153,4.20%,$168 ,,,1.40%,0.1,21.00%,76,69,0.3,0.3,1,25.20%,68.50%,6.40%,1210196,42.30%,Africa,"$829,000,000 ","$223,000,000 ",2002
1.60%,,3146,19564.976,Mauritius,,,,5609836354,3.90%,$188 ,,,1.40%,0.1,21.00%,76,69,0.3,0.4,1,24.90%,68.70%,6.40%,1222811,42.00%,Africa,"$960,000,000 ","$236,000,000 ",2003
1.60%,,3194,19734.176,Mauritius,46,,1019,6385691315,4.20%,$227 ,,,1.40%,0.1,21.00%,76,69,0.4,0.5,1,24.60%,68.90%,6.50%,1233386,41.80%,Africa,"$1,156,000,000 ","$277,000,000 ",2004
1.50%,26.20%,3410,18648.795,Mauritius,46,,1077,6283796155,4.50%,$239 ,113,161,1.40%,0.2,21.00%,76,69,0.5,0.5,1,24.20%,69.20%,6.60%,1243253,41.60%,Africa,"$1,189,000,000 ","$295,000,000 ",2005
1.40%,26.00%,3777,17537.772,Mauritius,46,,1173,6731536244,4.80%,$269 ,113,161,1.40%,0.2,21.10%,76,69,0.6,0.6,1,23.60%,69.60%,6.80%,1252698,41.40%,Africa,"$1,302,000,000 ","$347,000,000 ",2006
1.40%,24.20%,3887,17645.642,Mauritius,7,,1194,7792063567,5.00%,$316 ,113,161,1.40%,0.2,21.90%,76,69,0.8,0.8,1,23.00%,70.00%,7.00%,1260403,41.20%,Africa,"$1,663,000,000 ","$384,000,000 ",2007
1.30%,25.80%,3953,16491.345,Mauritius,6,,,9641077098,4.60%,$362 ,113,161,1.40%,0.2,11.50%,76,69,0.8,0.8,1,22.40%,70.40%,7.20%,1268565,41.00%,Africa,"$1,823,000,000 ","$489,000,000 ",2008
1.20%,26.00%,3865,15300.384,Mauritius,6,,,8834661043,5.00%,$357 ,113,161,1.40%,0.2,9.30%,77,69,0.8,0.9,1,21.70%,70.80%,7.50%,1275032,40.80%,Africa,"$1,390,000,000 ","$384,000,000 ",2009
1.20%,27.20%,4118,15371.088,Mauritius,6,,,9718331363,5.40%,$427 ,113,161,1.30%,0.3,8.90%,77,69,0.9,1,1,21.20%,71.10%,7.70%,1280924,40.60%,Africa,"$1,585,000,000 ","$423,000,000 ",2010
1.10%,27.70%,,14146.561,Mauritius,6,,,11252405860,4.90%,$450 ,113,161,1.30%,0.4,8.90%,77,70,1,1,1,20.60%,71.30%,8.00%,1286051,40.40%,Africa,"$1,808,000,000 ","$427,000,000 ",2011
1.10%,27.50%,,14202.837,Mauritius,6,20,,11442063228,4.80%,$444 ,113,161,1.30%,0.4,8.70%,77,70,1.2,1.2,1,20.20%,71.50%,8.40%,1291167,40.20%,Africa,"$1,778,000,000 ","$394,000,000 ",2012
2.40%,,381518,2492966.568,Mexico,,,145384,6.84E+11,5.10%,$328 ,,,2.20%,0.1,16.90%,77,72,0.1,0.1,1,34.10%,61.00%,4.90%,103873607,74.70%,The Americas,"$9,133,000,000 ","$6,365,000,000 ",2000
2.40%,,394800,2528157.048,Mexico,,,146302,7.25E+11,5.40%,$373 ,,,2.00%,0.1,12.80%,77,72,0.2,0.2,1,33.70%,61.30%,5.00%,105339877,75.00%,The Americas,"$9,190,000,000 ","$6,685,000,000 ",2001
2.30%,,391251,2454644.203,Mexico,,,150843,7.42E+11,5.60%,$396 ,,,1.90%,0.1,8.20%,77,72,0.2,0.2,1,33.40%,61.50%,5.10%,106723661,75.40%,The Americas,"$9,547,000,000 ","$7,087,000,000 ",2002
2.30%,,405633,2485295.176,Mexico,58,,153665,7.13E+11,5.80%,$397 ,,,1.80%,0.1,7.00%,78,73,0.3,0.3,1,33.00%,61.80%,5.10%,108056312,75.70%,The Americas,"$10,058,000,000 ","$7,252,000,000 ",2003
2.20%,,410744,2406394.1,Mexico,58,,159324,7.70E+11,6.00%,$441 ,,,1.70%,0.1,7.40%,78,73,0.3,0.4,1,32.70%,62.10%,5.20%,109381550,76.00%,The Americas,"$11,610,000,000 ","$8,034,000,000 ",2004
2.20%,55.70%,435046,2436100.172,Mexico,58,,170263,8.66E+11,5.90%,$478 ,452,552,1.70%,0.2,9.70%,78,73,0.4,0.4,1,32.30%,62.40%,5.30%,110731826,76.30%,The Americas,"$12,801,000,000 ","$8,951,000,000 ",2005
2.10%,53.10%,441796,2354450.574,Mexico,25,,172307,9.67E+11,5.70%,$515 ,452,560,1.60%,0.2,7.50%,78,73,0.4,0.5,1,31.90%,62.70%,5.40%,112116694,76.60%,The Americas,"$13,329,000,000 ","$9,387,000,000 ",2006
2.10%,52.30%,455845,2384126.199,Mexico,25,,176711,1.04E+12,5.80%,$565 ,452,485,1.60%,0.2,7.60%,78,74,0.5,0.6,1,31.40%,63.00%,5.60%,113529819,76.90%,The Americas,"$14,055,000,000 ","$9,918,000,000 ",2007
2.00%,51.50%,471444,2299360.78,Mexico,26,,181876,1.10E+12,5.80%,$598 ,452,549,1.50%,0.2,8.70%,79,74,0.6,0.7,1,31.00%,63.30%,5.70%,114968039,77.20%,The Americas,"$14,726,000,000 ","$10,246,000,000 ",2008
2.00%,51.00%,446237,2328455.04,Mexico,11,,175752,8.95E+11,6.40%,$526 ,452,517,1.50%,0.3,7.10%,79,74,0.7,0.7,1,30.50%,63.60%,5.80%,116422752,77.50%,The Americas,"$12,542,000,000 ","$8,737,000,000 ",2009
2.00%,50.50%,443674,2357728.08,Mexico,7,,178924,1.05E+12,6.30%,$603 ,339,404,1.40%,0.3,5.30%,79,74,0.8,0.8,1,30.00%,64.00%,6.00%,117886404,77.80%,The Americas,"$12,628,000,000 ","$9,001,000,000 ",2010
1.90%,52.70%,,2267863.427,Mexico,6,,186171,1.17E+12,6.00%,$609 ,339,347,1.40%,0.4,4.90%,79,75,0.8,0.8,1,29.50%,64.30%,6.10%,119361233,78.10%,The Americas,"$12,458,000,000 ","$9,704,000,000 ",2011
1.90%,52.50%,,2296102.063,Mexico,6,51,191924,1.19E+12,6.10%,$618 ,226,337,1.30%,0.4,4.70%,80,75,0.8,0.8,1,29.00%,64.70%,6.30%,120847477,78.40%,The Americas,"$13,320,000,000 ","$10,735,000,000 ",2012
3.00%,,136,3222.9,"Micronesia, Fed. Sts.",,,,233226323,7.80%,$170 ,,,4.20%,0,15.30%,68,67,,,1,40.30%,56.00%,3.70%,107430,22.30%,Oceania,"$17,000,000 ","$5,000,000 ",2000
2.90%,,176,3107.93,"Micronesia, Fed. Sts.",,,,240051900,8.50%,$190 ,,,4.10%,0,15.30%,68,67,,,1,39.90%,56.30%,3.80%,107170,22.30%,Oceania,"$15,000,000 ","$5,000,000 ",2001
2.80%,,147,2995.524,"Micronesia, Fed. Sts.",,,,241543396,7.90%,$178 ,,,4.00%,0.1,15.30%,68,67,0,0,1,39.50%,56.60%,3.90%,106983,22.30%,Oceania,"$17,000,000 ","$5,000,000 ",2002
2.80%,,147,2990.848,"Micronesia, Fed. Sts.",16,,,244990984,9.50%,$218 ,,,3.90%,0.1,15.00%,68,67,0,0.1,1,39.30%,56.80%,3.90%,106816,22.30%,Oceania,"$17,000,000 ","$6,000,000 ",2003
